Rank,Title,Genre
1,Guardians of the Galaxy,"Action,Adventure,Sci-Fi"
2,Prometheus,"Adventure,Mystery,Sci-Fi"
3,Split,"Horror,Thriller"
4,Sing,"Animation,Comedy,Family"
5,Suicide Squad,"Action,Adventure,Fantasy"
6,The Great Wall,"Action,Adventure,Fantasy"
7,La La Land,"Comedy,Drama,Music"
8,Mindhorn,Comedy
9,The Lost City of Z,"Action,Adventure,Biography"
10,Passengers,"Adventure,Drama,Romance"
11,Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy"
12,Hidden Figures,"Biography,Drama,History"
13,Rogue One,"Action,Adventure,Sci-Fi"
14,Moana,"Animation,Adventure,Comedy"
15,Colossal,"Action,Comedy,Drama"
16,The Secret Life of Pets,"Animation,Adventure,Comedy"
17,Hacksaw Ridge,"Biography,Drama,History"
18,Jason Bourne,"Action,Thriller"
19,Lion,"Biography,Drama"
20,Arrival,"Drama,Mystery,Sci-Fi"
21,Gold,"Adventure,Drama,Thriller"
22,Manchester by the Sea,Drama
23,Hounds of Love,"Crime,Drama,Horror"
24,Trolls,"Animation,Adventure,Comedy"
25,Independence Day: Resurgence,"Action,Adventure,Sci-Fi"
26,Paris pieds nus,Comedy
27,Bahubali: The Beginning,"Action,Adventure,Drama"
28,Dead Awake,"Horror,Thriller"
29,Bad Moms,Comedy
30,Assassin's Creed,"Action,Adventure,Drama"
31,Why Him?,Comedy
32,Nocturnal Animals,"Drama,Thriller"
33,X-Men: Apocalypse,"Action,Adventure,Sci-Fi"
34,Deadpool,"Action,Adventure,Comedy"
35,Resident Evil: The Final Chapter,"Action,Horror,Sci-Fi"
36,Captain America: Civil War,"Action,Adventure,Sci-Fi"
37,Interstellar,"Adventure,Drama,Sci-Fi"
38,Doctor Strange,"Action,Adventure,Fantasy"
39,The Magnificent Seven,"Action,Adventure,Western"
40,5/25/1977,"Comedy,Drama"
41,Sausage Party,"Animation,Adventure,Comedy"
42,Moonlight,Drama
43,Don't Fuck in the Woods,Horror
44,The Founder,"Biography,Drama,History"
45,Lowriders,Drama
46,Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy"
47,Miss Sloane,"Drama,Thriller"
48,Fallen,"Adventure,Drama,Fantasy"
49,Star Trek Beyond,"Action,Adventure,Sci-Fi"
50,The Last Face,Drama
51,Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Fantasy"
52,Underworld: Blood Wars,"Action,Adventure,Fantasy"
53,Mother's Day,"Comedy,Drama"
54,John Wick,"Action,Crime,Thriller"
55,The Dark Knight,"Action,Crime,Drama"
56,Silence,"Adventure,Drama,History"
57,Don't Breathe,"Crime,Horror,Thriller"
58,Me Before You,"Drama,Romance"
59,Their Finest,"Comedy,Drama,Romance"
60,Sully,"Biography,Drama"
61,Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi"
62,The Autopsy of Jane Doe,"Horror,Mystery,Thriller"
63,The Girl on the Train,"Crime,Drama,Mystery"
64,Fifty Shades of Grey,"Drama,Romance,Thriller"
65,The Prestige,"Drama,Mystery,Sci-Fi"
66,Kingsman: The Secret Service,"Action,Adventure,Comedy"
67,Patriots Day,"Drama,History,Thriller"
68,Mad Max: Fury Road,"Action,Adventure,Sci-Fi"
69,Wakefield,Drama
70,Deepwater Horizon,"Action,Drama,Thriller"
71,The Promise,"Drama,History"
72,Allied,"Action,Drama,Romance"
73,A Monster Calls,"Drama,Fantasy"
74,Collateral Beauty,"Drama,Romance"
75,Zootopia,"Animation,Adventure,Comedy"
76,Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy"
77,The Avengers,"Action,Sci-Fi"
78,Inglourious Basterds,"Adventure,Drama,War"
79,Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Fantasy"
80,Ghostbusters,"Action,Comedy,Fantasy"
81,Inception,"Action,Adventure,Sci-Fi"
82,Captain Fantastic,"Comedy,Drama"
83,The Wolf of Wall Street,"Biography,Comedy,Crime"
84,Gone Girl,"Crime,Drama,Mystery"
85,Furious Seven,"Action,Crime,Thriller"
86,Jurassic World,"Action,Adventure,Sci-Fi"
87,Live by Night,"Crime,Drama"
88,Avatar,"Action,Adventure,Fantasy"
89,The Hateful Eight,"Crime,Drama,Mystery"
90,The Accountant,"Action,Crime,Drama"
91,Prisoners,"Crime,Drama,Mystery"
92,Warcraft,"Action,Adventure,Fantasy"
93,The Help,Drama
94,War Dogs,"Comedy,Crime,Drama"
95,Avengers: Age of Ultron,"Action,Adventure,Sci-Fi"
96,The Nice Guys,"Action,Comedy,Crime"
97,Kimi no na wa,"Animation,Drama,Fantasy"
98,The Void,"Horror,Mystery,Sci-Fi"
99,Personal Shopper,"Drama,Mystery,Thriller"
100,The Departed,"Crime,Drama,Thriller"
101,Legend,"Biography,Crime,Drama"
102,Thor,"Action,Adventure,Fantasy"
103,The Martian,"Adventure,Drama,Sci-Fi"
104,Contratiempo,"Crime,Mystery,Thriller"
105,The Man from U.N.C.L.E.,"Action,Adventure,Comedy"
106,Hell or High Water,"Crime,Drama,Thriller"
107,The Comedian,Comedy
108,The Legend of Tarzan,"Action,Adventure,Drama"
109,All We Had,Drama
110,Ex Machina,"Drama,Mystery,Sci-Fi"
111,The Belko Experiment,"Action,Horror,Thriller"
112,12 Years a Slave,"Biography,Drama,History"
113,The Bad Batch,"Romance,Sci-Fi"
